# System Information
# OS                       : Linux
# OS Version               : #45~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Sep 11 15:25:05 UTC 2
# Architecture             : x86_64
# Python Version           : 3.10.12
# Processor                : x86_64
# Node Name                : simple_string_rtt
# Start Time               : 2024-09-27 11:21:31
#
# Computed Statistics
# Total Packets Sent       : 1000
# Packets Received         : 1000
# Packets Lost             : 0
# Packet Loss Percentage   : 0.00%
# Average RTT              : 0.10966164 s
# Median RTT               : 0.08958878 s
# RTT Range                : 0.34880275 s
# Standard Deviation of RTT: 0.07601762 s
# Variance of RTT          : 0.00577868 s
# Packets Under Threshold  : 15
# Packets Over Threshold   : 985
# Threshold RTT            : 0.02 s
# Test Duration            : 0:04:09
#
# Run latency_plotter.py to compute statistics
#
message_id,send_time,receive_time,rtt,status
0,2156.101719425,2156.174318425,0.07259900000008201,received
1,2156.351628028,2156.576316774,0.22468874600008348,received
2,2156.601571763,2156.660793027,0.059221264000370866,received
3,2156.851577089,2157.092978882,0.24140179300002274,received
4,2157.101562657,2157.233532355,0.13196969799992075,received
5,2157.35157685,2157.381376526,0.029799676000038744,received
6,2157.601572681,2157.826886308,0.22531362700010504,received
7,2157.8517232,2157.919747923,0.0680247230002351,received
8,2158.10160818,2158.315158214,0.21355003400003625,received
9,2158.351679991,2158.422987758,0.07130776700023489,received
10,2158.601594897,2158.828812548,0.22721765100004632,received
11,2158.851602555,2158.924840806,0.07323825099956593,received
12,2159.101511886,2159.343315508,0.24180362200013406,received
13,2159.351610858,2159.481626118,0.1300152599997091,received
14,2159.601658481,2159.643826682,0.042168201000094996,received
15,2159.851506644,2159.950126506,0.0986198619998504,received
16,2160.101630366,2160.161401294,0.05977092800003447,received
17,2160.351644399,2160.565829622,0.2141852229997312,received
18,2160.6017302,2160.663774912,0.06204471199998807,received
19,2160.851657916,2161.092148462,0.240490545999819,received
20,2161.101608054,2161.233580091,0.131972037000196,received
21,2161.351665226,2161.380507924,0.028842698000062228,received
22,2161.601621445,2161.688658715,0.08703727000010986,received
23,2161.851528377,2161.90921593,0.057687553000050684,received
24,2162.101474666,2162.316567802,0.21509313600017776,received
25,2162.351622686,2162.483121234,0.13149854799985405,received
26,2162.601555002,2162.632255332,0.030700329999945097,received
27,2162.851689336,2162.924445577,0.07275624099975175,received
28,2163.101612819,2163.32980392,0.22819110099999307,received
29,2163.351538205,2163.433233138,0.081694933000108,received
30,2163.601642125,2163.673244545,0.0716024200000902,received
31,2163.851539335,2164.165188582,0.31364924700028496,received
32,2164.101801161,2164.270894004,0.1690928430002714,received
33,2164.351648315,2164.39471138,0.04306306499984203,received
34,2164.601605134,2164.660687999,0.05908286500016402,received
35,2164.851708004,2165.0791321,0.22742409600004976,received
36,2165.10170823,2165.234607322,0.13289909200011607,received
37,2165.351619518,2165.39924744,0.047627922000174294,received
38,2165.601730143,2165.703216593,0.10148644999981116,received
39,2165.851718507,2166.094576865,0.24285835799992128,received
40,2166.101612468,2166.232487463,0.13087499499988553,received
41,2166.351713181,2166.383196101,0.03148292000014408,received
42,2166.60171007,2166.815856433,0.2141463630000544,received
43,2166.851629149,2166.928596476,0.07696732700014763,received
44,2167.101659301,2167.33420436,0.232545059000131,received
45,2167.351537754,2167.468246539,0.11670878499990067,received
46,2167.601589856,2167.634130639,0.03254078300005858,received
47,2167.851647112,2167.949169921,0.09752280899965626,received
48,2168.101716623,2168.14721582,0.04549919700002647,received
49,2168.35170026,2168.450289533,0.09858927300001596,received
50,2168.601715512,2168.668775888,0.06706037599997217,received
51,2168.8516355,2168.88362344,0.03198793999990812,received
52,2169.101765775,2169.172482702,0.07071692699992127,received
53,2169.351650947,2169.382517089,0.030866141999922547,received
54,2169.601622129,2169.672083108,0.07046097900001769,received
55,2169.851571027,2170.093948412,0.24237738500005435,received
56,2170.101590492,2170.230436221,0.1288457290002043,received
57,2170.351685108,2170.382392902,0.030707794000136346,received
58,2170.601742201,2170.837878293,0.23613609199992425,received
59,2170.851648091,2170.914338126,0.06269003500028703,received
60,2171.10172531,2171.315739591,0.21401428099989062,received
61,2171.351649658,2171.423499217,0.07184955899992929,received
62,2171.601626214,2171.831761373,0.23013515899992854,received
63,2171.851500166,2171.96737369,0.11587352400010786,received
64,2172.101710561,2172.14375099,0.04204042900028071,received
65,2172.351714616,2172.451229726,0.0995151099996292,received
66,2172.601565188,2172.648020479,0.046455290999801946,received
67,2172.851624793,2172.965086383,0.11346159000004263,received
68,2173.101619893,2173.135979894,0.03436000099964076,received
69,2173.35148533,2173.393902595,0.04241726500004006,received
70,2173.601599355,2173.68864042,0.08704106499999398,received
71,2173.85161376,2174.082998844,0.23138508400006685,received
72,2174.1017035,2174.180326912,0.07862341200006995,received
73,2174.351708572,2174.396118242,0.044409669999822654,received
74,2174.601670511,2174.700316505,0.09864599399998042,received
75,2174.851718048,2174.916387744,0.06466969600023731,received
76,2175.101801937,2175.314103467,0.2123015300003317,received
77,2175.351669276,2175.429247282,0.07757800599983966,received
78,2175.601500696,2175.839188,0.23768730399979177,received
79,2175.851530667,2175.986609726,0.1350790589999633,received
80,2176.101719191,2176.130768255,0.02904906399999163,received
81,2176.351724182,2176.437832684,0.08610850200011555,received
82,2176.60173021,2176.646019162,0.04428895199998806,received
83,2176.851619859,2176.982705118,0.13108525899997403,received
84,2177.101617863,2177.131680381,0.030062518000249838,received
85,2177.351662881,2177.565745645,0.21408276400006798,received
86,2177.601616893,2177.675622289,0.07400539599984768,received
87,2177.851621248,2178.07988128,0.22826003199998013,received
