Linux 6.8.0-45-generic (adman-AORUS-15-BKF) 	09/10/24 	_x86_64_	(20 CPU)

20:20:36      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
20:21:46     1000    230969    5.00    2.00    0.00    0.00    7.00    16  godot.linuxbsd.
20:21:47     1000    230969    6.00    3.00    0.00    0.00    9.00    16  godot.linuxbsd.
20:21:48     1000    230969    6.00    1.00    0.00    0.00    7.00     3  godot.linuxbsd.
20:21:49     1000    230969    5.00    1.00    0.00    0.00    6.00    10  godot.linuxbsd.
20:21:50     1000    230969    6.00    2.00    0.00    0.00    8.00     4  godot.linuxbsd.
20:21:51     1000    230969    6.00    4.00    0.00    0.00   10.00     2  godot.linuxbsd.
20:21:52     1000    230969    8.00    4.00    0.00    1.00   12.00     6  godot.linuxbsd.
20:21:53     1000    230969    6.00    1.00    0.00    0.00    7.00    16  godot.linuxbsd.
20:21:54     1000    230969    6.00    3.00    0.00    0.00    9.00     0  godot.linuxbsd.
20:21:55     1000    230969    4.00    2.00    0.00    0.00    6.00     0  godot.linuxbsd.
20:21:56     1000    230969    5.00    3.00    0.00    0.00    8.00     0  godot.linuxbsd.
20:21:57     1000    230969    7.00    3.00    0.00    0.00   10.00     6  godot.linuxbsd.
20:21:58     1000    230969    7.00    1.00    0.00    0.00    8.00     4  godot.linuxbsd.
20:21:59     1000    230969    5.00    2.00    0.00    0.00    7.00     4  godot.linuxbsd.
20:22:00     1000    230969    4.00    2.00    0.00    0.00    6.00    10  godot.linuxbsd.
20:22:01     1000    230969    6.00    3.00    0.00    0.00    9.00     4  godot.linuxbsd.
20:22:02     1000    230969    7.00    2.00    0.00    0.00    9.00     4  godot.linuxbsd.
20:22:03     1000    230969    4.00    0.00    0.00    0.00    4.00     4  godot.linuxbsd.
20:22:04     1000    230969    5.00    2.00    0.00    0.00    7.00     4  godot.linuxbsd.
20:22:05     1000    230969    5.00    2.00    0.00    0.00    7.00     2  godot.linuxbsd.
20:22:06     1000    230969    3.00    2.00    0.00    0.00    5.00     4  godot.linuxbsd.
20:22:07     1000    230969    6.00    2.00    0.00    0.00    8.00     6  godot.linuxbsd.
20:22:08     1000    230969    4.00    1.00    0.00    0.00    5.00     8  godot.linuxbsd.
20:22:09     1000    230969    7.00    3.00    0.00    0.00   10.00     6  godot.linuxbsd.
20:22:10     1000    230969    9.00    1.00    0.00    0.00   10.00    10  godot.linuxbsd.
20:22:11     1000    230969    4.00    2.00    0.00    0.00    6.00     4  godot.linuxbsd.
20:22:12     1000    230969    5.00    1.00    0.00    0.00    6.00     4  godot.linuxbsd.
20:22:13     1000    230969    4.00    1.00    0.00    0.00    5.00     4  godot.linuxbsd.
20:22:14     1000    230969   12.00    2.00    0.00    0.00   14.00     6  godot.linuxbsd.
20:22:15     1000    230969    5.00    2.00    0.00    0.00    7.00    10  godot.linuxbsd.
20:22:16     1000    230969    5.00    3.00    0.00    0.00    8.00    10  godot.linuxbsd.
20:22:17     1000    230969    4.00    2.00    0.00    0.00    6.00     4  godot.linuxbsd.
20:22:18     1000    230969    6.00    2.00    0.00    0.00    8.00     7  godot.linuxbsd.
20:22:19     1000    230969    5.00    1.00    0.00    1.00    6.00     5  godot.linuxbsd.
20:22:20     1000    230969    6.00    2.00    0.00    0.00    8.00     4  godot.linuxbsd.
20:22:21     1000    230969    5.00    1.00    0.00    0.00    6.00     6  godot.linuxbsd.
20:22:22     1000    230969    5.00    2.00    0.00    0.00    7.00    14  godot.linuxbsd.
20:22:23     1000    230969    5.00    2.00    0.00    0.00    7.00     6  godot.linuxbsd.
20:22:24     1000    230969    5.00    2.00    0.00    0.00    7.00     8  godot.linuxbsd.
