Linux 6.8.0-45-generic (adman-AORUS-15-BKF) 	09/10/24 	_x86_64_	(20 CPU)

20:15:16      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
20:16:38     1000    221677   15.00    2.00    0.00    0.00   17.00     6  Unity
20:16:39     1000    221677   17.00    4.00    0.00    1.00   21.00     5  Unity
20:16:40     1000    221677   10.00    3.00    0.00    0.00   13.00     5  Unity
20:16:41     1000    221677   12.00    3.00    0.00    0.00   15.00     5  Unity
20:16:42     1000    221677   13.00    5.00    0.00    0.00   18.00     5  Unity
20:16:43     1000    221677   17.00    3.00    0.00    0.00   20.00     6  Unity
20:16:44     1000    221677   16.00    4.00    0.00    0.00   20.00     2  Unity
20:16:45     1000    221677   16.00    4.00    0.00    1.00   20.00     4  Unity
20:16:46     1000    221677   14.00    3.00    0.00    0.00   17.00     8  Unity
20:16:47     1000    221677   18.00    4.00    0.00    0.00   22.00     8  Unity
20:16:48     1000    221677   12.00    5.00    0.00    1.00   17.00     8  Unity
20:16:49     1000    221677   20.00    4.00    0.00    0.00   24.00    10  Unity
20:16:50     1000    221677   20.00    4.00    0.00    1.00   24.00     2  Unity
20:16:51     1000    221677   19.00    3.00    0.00    0.00   22.00     4  Unity
20:16:52     1000    221677   15.00    5.00    0.00    0.00   20.00    12  Unity
20:16:53     1000    221677   18.00    5.00    0.00    0.00   23.00     0  Unity
20:16:54     1000    221677   13.00    2.00    0.00    0.00   15.00     4  Unity
20:16:55     1000    221677   11.00    4.00    0.00    1.00   15.00    10  Unity
20:16:56     1000    221677   15.00    3.00    0.00    0.00   18.00     0  Unity
20:16:57     1000    221677   14.00    3.00    0.00    0.00   17.00     4  Unity
20:16:58     1000    221677   15.00    4.00    0.00    0.00   19.00     0  Unity
20:16:59     1000    221677   14.00    3.00    0.00    0.00   17.00     4  Unity
20:17:00     1000    221677   13.00    3.00    0.00    0.00   16.00     0  Unity
20:17:01     1000    221677   19.00    5.00    0.00    1.00   24.00     4  Unity
20:17:02     1000    221677   16.00    4.00    0.00    0.00   20.00    10  Unity
20:17:03     1000    221677   11.88    1.98    0.00    0.00   13.86     4  Unity
20:17:04     1000    221677   14.00    3.00    0.00    0.00   17.00     4  Unity
20:17:05     1000    221677   17.00    3.00    0.00    0.00   20.00     4  Unity
20:17:06     1000    221677   16.00    4.00    0.00    1.00   20.00     4  Unity
20:17:07     1000    221677   14.00    5.00    0.00    0.00   19.00     6  Unity
20:17:08     1000    221677   15.00    4.00    0.00    0.00   19.00     8  Unity
20:17:09     1000    221677   14.00    4.00    0.00    0.00   18.00     8  Unity
20:17:10     1000    221677   12.00    2.00    0.00    0.00   14.00    10  Unity
20:17:11     1000    221677   17.00    5.00    0.00    1.00   22.00     6  Unity
20:17:12     1000    221677   14.00    5.00    0.00    0.00   19.00     4  Unity
20:17:13     1000    221677   10.00    2.00    0.00    0.00   12.00     4  Unity
20:17:14     1000    221677   17.00    4.00    0.00    0.00   21.00     1  Unity
20:17:15     1000    221677   12.00    4.00    0.00    0.00   16.00     6  Unity
20:17:16     1000    221677   15.00    3.00    0.00    1.00   18.00     6  Unity
Average:     1000    221677   14.27    3.57    0.00    0.19   17.85     -  Unity
