Environment,Test Type,Statistic,Average Value
HEADSET-TB3_UNITYTCPCONN,simple_string,% Over Threshold,97.800000
HEADSET-TB3_UNITYTCPCONN,increasing_payload,Packet Loss Percentage,39.102500
HEADSET-TB3_UNITYTCPCONN,increasing_payload,Average RTT,13.643078
HEADSET-TB3_UNITYTCPCONN,increasing_payload,Median RTT,2.098955
HEADSET-TB3_UNITYTCPCONN,increasing_payload,Standard Deviation of RTT,18.994135
HEADSET-TB3_UNITYTCPCONN,increasing_payload,Variance of RTT,401.396028
HEADSET-TB3_UNITYTCPCONN,increasing_payload,% Under Threshold,0.000000
HEADSET-TB3_UNITYTCPCONN,increasing_payload,% Over Threshold,60.897500
HEADSET-TB3_UNITYTCPCONN,large_payload,Packet Loss Percentage,60.523333
HEADSET-TB3_UNITYTCPCONN,large_payload,Average RTT,55.926680
HEADSET-TB3_UNITYTCPCONN,large_payload,Median RTT,52.714909
HEADSET-TB3_UNITYTCPCONN,large_payload,Standard Deviation of RTT,28.724213
HEADSET-TB3_UNITYTCPCONN,large_payload,Variance of RTT,832.907855
HEADSET-TB3_UNITYTCPCONN,large_payload,% Under Threshold,0.000000
HEADSET-TB3_UNITYTCPCONN,large_payload,% Over Threshold,39.476667
HEADSET-LAPTOP_UNITYTCPCONN,simple_string,Packet Loss Percentage,18.324000
HEADSET-LAPTOP_UNITYTCPCONN,simple_string,Average RTT,0.140002
HEADSET-LAPTOP_UNITYTCPCONN,simple_string,Median RTT,0.085069
HEADSET-LAPTOP_UNITYTCPCONN,simple_string,Standard Deviation of RTT,0.319199
HEADSET-LAPTOP_UNITYTCPCONN,simple_string,Variance of RTT,0.340828
HEADSET-LAPTOP_UNITYTCPCONN,simple_string,% Under Threshold,1.556000
HEADSET-LAPTOP_UNITYTCPCONN,simple_string,% Over Threshold,80.122000
HEADSET-LAPTOP_UNITYTCPCONN,increasing_payload,Packet Loss Percentage,0.040000
HEADSET-LAPTOP_UNITYTCPCONN,increasing_payload,Average RTT,0.323119
HEADSET-LAPTOP_UNITYTCPCONN,increasing_payload,Median RTT,0.138993
HEADSET-LAPTOP_UNITYTCPCONN,increasing_payload,Standard Deviation of RTT,0.448979
HEADSET-LAPTOP_UNITYTCPCONN,increasing_payload,Variance of RTT,0.388627
HEADSET-LAPTOP_UNITYTCPCONN,increasing_payload,% Under Threshold,0.080000
HEADSET-LAPTOP_UNITYTCPCONN,increasing_payload,% Over Threshold,99.880000
HEADSET-LAPTOP_UNITYTCPCONN,large_payload,Packet Loss Percentage,50.566667
HEADSET-LAPTOP_UNITYTCPCONN,large_payload,Average RTT,20.943965
HEADSET-LAPTOP_UNITYTCPCONN,large_payload,Median RTT,21.117109
HEADSET-LAPTOP_UNITYTCPCONN,large_payload,Standard Deviation of RTT,12.096995
HEADSET-LAPTOP_UNITYTCPCONN,large_payload,Variance of RTT,147.818595
HEADSET-LAPTOP_UNITYTCPCONN,large_payload,% Under Threshold,0.000000
HEADSET-LAPTOP_UNITYTCPCONN,large_payload,% Over Threshold,74.150000
TB3-TB3_INTERNAL,simple_string,Packet Loss Percentage,0.000000
TB3-TB3_INTERNAL,simple_string,Average RTT,0.003816
TB3-TB3_INTERNAL,simple_string,Median RTT,0.003891
TB3-TB3_INTERNAL,simple_string,Standard Deviation of RTT,0.000425
TB3-TB3_INTERNAL,simple_string,Variance of RTT,0.000000
TB3-TB3_INTERNAL,simple_string,% Under Threshold,100.000000
TB3-TB3_INTERNAL,simple_string,% Over Threshold,0.000000
TB3-TB3_INTERNAL,large_payload,Packet Loss Percentage,0.000000
TB3-TB3_INTERNAL,large_payload,Average RTT,0.012548
TB3-TB3_INTERNAL,large_payload,Median RTT,0.012757
TB3-TB3_INTERNAL,large_payload,Standard Deviation of RTT,0.003335
TB3-TB3_INTERNAL,large_payload,Variance of RTT,0.000011
TB3-TB3_INTERNAL,large_payload,% Under Threshold,94.100000
TB3-TB3_INTERNAL,large_payload,% Over Threshold,5.900000
TB3-TB3_INTERNAL,increasing_payload,Packet Loss Percentage,0.000000
