Linux 6.8.0-45-generic (adman-AORUS-15-BKF) 	09/10/24 	_x86_64_	(20 CPU)

20:27:34      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
20:28:49     1000    235441  229.00   15.00    0.00    1.00  244.00     5  UnrealEditor
20:28:50     1000    235441  233.00   15.00    0.00    0.00  248.00    10  UnrealEditor
20:28:51     1000    235441  245.00   16.00    0.00    1.00  261.00     8  UnrealEditor
20:28:52     1000    235441  226.00   17.00    0.00    0.00  243.00     2  UnrealEditor
20:28:53     1000    235441  234.00   16.00    0.00    1.00  250.00    10  UnrealEditor
20:28:54     1000    235441  226.00   16.00    0.00    1.00  242.00     4  UnrealEditor
20:28:55     1000    235441  218.00   16.00    0.00    0.00  234.00    18  UnrealEditor
20:28:56     1000    235441  234.00   16.00    0.00    0.00  250.00     8  UnrealEditor
20:28:57     1000    235441  226.00   18.00    0.00    1.00  244.00     3  UnrealEditor
20:28:58     1000    235441  230.00   19.00    0.00    0.00  249.00     5  UnrealEditor
20:28:59     1000    235441  230.00   13.00    0.00    1.00  243.00    13  UnrealEditor
20:29:00     1000    235441  221.00   16.00    0.00    0.00  237.00     1  UnrealEditor
20:29:01     1000    235441  236.00   15.00    0.00    1.00  251.00     8  UnrealEditor
20:29:02     1000    235441  216.00   17.00    0.00    0.00  233.00     0  UnrealEditor
20:29:03     1000    235441  223.00   15.00    0.00    0.00  238.00     8  UnrealEditor
20:29:04     1000    235441  232.00   15.00    0.00    1.00  247.00     0  UnrealEditor
20:29:05     1000    235441  215.00   12.00    0.00    0.00  227.00    10  UnrealEditor
20:29:06     1000    235441  225.00   15.00    0.00    0.00  240.00     3  UnrealEditor
20:29:07     1000    235441  231.00   14.00    0.00    1.00  245.00     4  UnrealEditor
20:29:08     1000    235441  223.00   17.00    0.00    0.00  240.00     4  UnrealEditor
20:29:09     1000    235441  234.00   14.00    0.00    0.00  248.00     3  UnrealEditor
20:29:10     1000    235441  150.00   11.00    0.00    1.00  161.00     9  UnrealEditor
20:29:11     1000    235441    8.00    5.00    0.00    0.00   13.00     9  UnrealEditor
20:29:12     1000    235441    9.00    5.00    0.00    0.00   14.00    12  UnrealEditor
20:29:13     1000    235441    9.00    6.00    0.00    0.00   15.00     4  UnrealEditor
20:29:14     1000    235441    9.00    6.00    0.00    0.00   15.00    10  UnrealEditor
20:29:15     1000    235441   10.00    6.00    0.00    0.00   16.00     5  UnrealEditor
20:29:16     1000    235441    9.00    6.00    0.00    0.00   15.00    10  UnrealEditor
20:29:17     1000    235441    8.00    6.00    0.00    0.00   14.00     0  UnrealEditor
20:29:18     1000    235441    8.00    7.00    0.00    0.00   15.00     4  UnrealEditor
20:29:19     1000    235441   10.00    6.00    0.00    0.00   16.00     8  UnrealEditor
20:29:20     1000    235441   10.00    8.00    0.00    0.00   18.00     0  UnrealEditor
20:29:21     1000    235441    8.00    7.00    0.00    0.00   15.00     6  UnrealEditor
20:29:22     1000    235441    7.00    7.00    0.00    0.00   14.00    10  UnrealEditor
20:29:23     1000    235441    9.00    7.00    0.00    0.00   16.00    10  UnrealEditor
20:29:24     1000    235441    7.00    7.00    0.00    0.00   14.00    10  UnrealEditor
20:29:25     1000    235441    9.00    6.00    0.00    0.00   15.00     2  UnrealEditor
20:29:26     1000    235441    9.00    6.00    0.00    0.00   15.00     0  UnrealEditor
20:29:27     1000    235441    8.00    8.00    0.00    0.00   16.00     0  UnrealEditor
20:29:28     1000    235441    7.00    7.00    0.00    0.00   14.00     2  UnrealEditor
20:29:29     1000    235441    6.00    4.00    0.00    0.00   10.00     2  UnrealEditor
20:29:30     1000    235441   10.00    6.00    0.00    0.00   16.00     0  UnrealEditor
20:29:31     1000    235441    8.00    8.00    0.00    0.00   16.00     0  UnrealEditor
20:29:32     1000    235441    9.00    7.00    0.00    0.00   16.00     4  UnrealEditor
20:29:33     1000    235441    7.00    5.00    0.00    0.00   12.00     4  UnrealEditor
20:29:34     1000    235441   10.00    6.00    0.00    0.00   16.00     8  UnrealEditor
Average:     1000    235441  166.04   14.09    0.00    0.36  180.13     -  UnrealEditor
